timestamp,gsr_z,hr_bpm
0,5.4812,82.76
1000,6.8262,77.76
2000,7.8127,77.74
3000,7.7759,83.59
4000,7.8226,86.46
5000,7.5994,84.95
6000,6.5413,77.93
7000,7.5709,88.67
8000,7.699,80.48
9000,6.4426,81.87
10000,7.7765,86.94
11000,7.7723,91.33
12000,7.7932,88.55
13000,7.7666,85.2
14000,7.7878,83.5
15000,7.8197,83.97
16000,7.7858,84.27
17000,7.762,80.05
18000,7.7988,88.63
19000,7.5917,88.82
20000,7.8088,85.35
21000,7.8301,78.85
22000,7.7907,79.62
23000,7.8136,83.63
24000,7.8362,88.01
25000,7.7943,88.9
26000,7.8078,90.08
27000,7.7729,93.87
28000,7.8335,84.17
29000,7.778,83.0
