timestamp,gsr_z,hr_bpm
0,3.0422,78.69
1000,3.5442,78.26
2000,5.131,81.44
3000,7.8041,87.68
4000,7.8301,89.1
5000,7.8178,90.48
6000,7.7993,82.68
7000,7.7651,82.06
8000,7.7655,85.29
9000,7.3068,84.26
10000,7.8191,83.76
11000,7.8663,90.24
12000,7.7928,83.36
13000,7.8204,78.29
14000,7.8358,78.35
15000,7.7785,85.39
16000,7.6399,88.1
17000,7.7911,82.88
18000,7.7842,81.09
19000,7.8069,77.92
20000,7.8124,79.68
21000,7.3489,86.17
22000,7.0091,85.52
23000,7.7691,81.23
24000,7.7757,88.99
25000,7.7848,83.13
26000,7.793,79.34
27000,7.7628,78.25
28000,7.8316,79.94
29000,7.8025,85.33
