timestamp,gsr_z,hr_bpm
0,3.5853,86.93
1000,3.9799,87.29
2000,4.5065,85.24
3000,4.9497,88.37
4000,4.6018,78.12
5000,4.8429,83.76
6000,4.064,82.87
7000,4.3897,87.91
8000,5.2895,85.42
9000,4.6352,89.9
10000,4.5129,89.52
11000,4.3377,88.54
12000,3.7323,94.89
13000,4.2825,94.28
14000,6.0687,87.76
15000,6.6806,86.27
16000,6.6713,82.94
17000,4.6509,83.62
18000,4.8124,78.13
19000,5.6701,84.1
20000,5.9278,85.01
21000,7.2377,82.36
22000,6.7504,81.45
23000,6.2929,83.82
24000,7.722,92.84
25000,6.0241,90.24
26000,6.7168,83.31
27000,7.8598,78.12
28000,7.8192,79.89
29000,7.8456,88.06
