timestamp,gsr_z,hr_bpm
0,2.7832,85.52
1000,2.5119,87.29
2000,3.5411,87.94
3000,3.7128,90.42
4000,4.0067,84.96
5000,6.0618,78.46
6000,6.3473,83.29
7000,7.8024,93.35
8000,7.5771,82.94
9000,7.1303,77.87
10000,5.9481,77.96
11000,6.5738,79.85
12000,7.801,78.46
13000,7.8215,79.01
14000,7.7961,78.7
15000,7.7707,81.41
16000,7.4946,91.1
17000,7.8314,97.72
18000,7.2541,94.58
19000,5.5792,92.77
20000,4.5012,97.86
21000,4.2279,100.25
22000,2.8998,101.78
23000,2.4296,101.6
24000,2.2085,84.83
25000,2.183,89.86
26000,2.5057,95.04
27000,2.2167,95.3
28000,2.4605,91.59
29000,3.8392,90.66
