timestamp,gsr_z,hr_bpm
0,4.5627,103.74
1000,3.5342,97.07
2000,6.0441,104.48
3000,6.8673,101.23
4000,7.7891,102.13
5000,7.7918,96.91
6000,7.8008,102.43
7000,7.7661,108.01
8000,7.8294,98.77
9000,7.8156,107.13
10000,7.7766,107.12
11000,7.7648,102.86
12000,7.7646,107.37
13000,7.8104,101.16
14000,7.8009,101.0
15000,7.7845,97.53
16000,6.8032,97.42
17000,7.2036,101.54
18000,6.9124,94.92
19000,6.7362,97.96
20000,5.5133,89.76
21000,3.8346,97.78
22000,6.4609,101.27
23000,5.9138,102.72
24000,5.9329,95.96
25000,5.0611,91.66
26000,5.31,94.82
27000,4.6538,102.99
28000,5.4469,108.11
29000,6.6818,107.09
