timestamp,gsr_z,hr_bpm
0,2.644,87.35
1000,3.3439,86.39
2000,3.8947,96.74
3000,4.2914,94.22
4000,6.6407,89.34
5000,6.1242,97.74
6000,6.7181,100.71
7000,6.7653,92.89
8000,6.2912,99.36
9000,7.757,87.89
10000,7.7923,86.64
11000,7.8186,93.03
12000,7.7938,88.79
13000,7.8158,84.69
14000,7.4881,93.03
15000,7.8459,89.8
16000,7.8035,88.68
17000,7.8302,85.61
18000,7.8059,80.74
19000,7.7799,78.81
20000,7.8004,88.23
21000,7.8171,87.5
22000,7.7256,83.84
23000,7.8439,84.74
24000,7.7861,88.03
25000,7.8143,90.67
26000,7.8153,87.39
27000,7.8363,88.41
28000,7.6301,79.69
29000,7.0843,80.24
