timestamp,gsr_z,hr_bpm
0,4.1325,104.68
1000,4.3737,108.1
2000,4.081,100.96
3000,4.9877,98.25
4000,6.9597,98.58
5000,7.5902,93.37
6000,6.7174,89.96
7000,7.2093,93.92
8000,7.5407,99.14
9000,7.8289,108.48
10000,7.7654,108.18
11000,7.8269,107.92
12000,7.241,104.57
13000,6.8992,103.67
14000,6.0573,98.94
15000,6.1203,105.33
16000,5.3768,108.28
17000,5.5711,100.28
18000,5.1339,95.29
19000,5.5897,87.17
20000,4.4559,87.94
21000,4.486,79.53
22000,3.4853,82.09
23000,3.1145,81.86
24000,3.3868,85.03
25000,6.3016,84.71
26000,6.7399,86.69
27000,6.9986,93.06
28000,5.3158,94.05
29000,7.0358,94.2
