timestamp,gsr_z,hr_bpm
0,4.1417,102.23
1000,4.1772,100.4
2000,3.3986,108.05
3000,4.0565,97.81
4000,3.3342,101.11
5000,4.1184,94.64
6000,4.3511,93.07
7000,4.3507,103.34
8000,5.1214,101.59
9000,5.6139,99.22
10000,5.0869,104.79
11000,5.3786,106.57
12000,5.638,108.63
13000,5.3562,104.36
14000,4.8778,92.97
15000,4.6852,95.23
16000,4.1249,95.88
17000,2.7304,97.08
18000,2.1468,94.89
19000,2.2327,97.12
20000,2.2183,101.95
21000,2.1869,87.06
22000,2.1653,93.34
23000,2.2133,97.44
24000,2.2377,106.88
25000,2.1574,105.29
26000,2.227,97.88
27000,2.1716,103.62
28000,2.2258,108.2
29000,2.2414,103.99
