timestamp,gsr_z,hr_bpm
0,2.7572,86.47
1000,4.2637,83.77
2000,3.6102,96.22
3000,4.4025,100.73
4000,4.9401,89.76
5000,5.4985,87.72
6000,5.3932,96.97
7000,5.4947,83.35
8000,5.716,78.06
9000,5.6297,79.85
10000,5.5346,89.97
11000,4.9691,81.28
12000,4.7928,77.7
13000,4.0096,80.42
14000,4.0805,86.26
15000,2.3765,79.67
16000,2.743,78.31
17000,3.6748,78.44
18000,3.9876,78.6
19000,4.1752,77.68
20000,3.2869,78.48
21000,4.6692,78.47
22000,5.7886,78.38
23000,7.0237,82.71
24000,7.7777,83.78
25000,7.7623,84.39
26000,6.3522,83.44
27000,5.9236,82.07
28000,5.898,81.65
29000,7.336,87.01
