timestamp,gsr_z,hr_bpm
0,4.8961,97.74
1000,4.9564,92.67
2000,4.0083,100.65
3000,3.3897,100.29
4000,4.7581,99.29
5000,5.4386,97.87
6000,4.4819,103.18
7000,3.0042,107.68
8000,3.4964,99.82
9000,2.8518,107.55
10000,3.8754,108.62
11000,5.3431,104.73
12000,5.2732,107.83
13000,5.1978,108.22
14000,5.2656,108.12
15000,5.7592,97.44
16000,6.029,95.97
17000,5.8947,97.35
18000,7.82,108.0
19000,7.7712,105.97
20000,7.7608,104.35
21000,7.7889,106.92
22000,7.791,107.8
23000,7.8026,104.53
24000,7.8087,101.43
25000,7.7736,96.25
26000,7.8288,89.39
27000,7.7958,99.19
28000,7.8063,102.48
29000,7.8247,104.78
