timestamp,gsr_z,hr_bpm
0,3.7257,88.84
1000,4.5581,94.11
2000,3.7309,93.39
3000,4.2481,93.84
4000,7.7851,91.98
5000,7.7334,87.87
6000,7.5207,94.52
7000,7.8219,92.64
8000,7.819,95.63
9000,7.8005,103.37
10000,7.8671,95.36
11000,7.3514,97.3
12000,7.7732,96.96
13000,7.8224,97.19
14000,7.8159,100.84
15000,7.8047,100.85
16000,7.8033,92.66
17000,7.858,89.39
18000,7.7804,85.62
19000,7.8018,86.67
20000,7.7914,82.35
21000,7.7658,93.48
22000,7.7601,91.0
23000,7.7996,87.83
24000,7.824,84.26
25000,7.6311,92.55
26000,7.7828,88.68
27000,7.8094,96.27
28000,7.8486,81.35
29000,7.7769,80.41
