timestamp,gsr_z,hr_bpm
0,5.0343,87.33
1000,5.4637,84.28
2000,4.1774,80.51
3000,4.8438,82.65
4000,4.6128,85.7
5000,4.6354,82.95
6000,3.4939,89.04
7000,3.9428,93.62
8000,3.7036,90.64
9000,4.8232,93.73
10000,5.9611,85.38
11000,5.7183,85.99
12000,5.3573,81.87
13000,3.6798,87.84
14000,4.3052,78.2
15000,3.251,77.59
16000,5.3036,81.31
17000,5.0018,84.75
18000,4.8312,84.81
19000,5.9585,82.34
20000,7.8411,79.85
21000,6.7438,78.05
22000,7.7424,82.45
23000,7.8221,80.77
24000,7.7869,87.31
25000,7.2024,93.46
26000,6.7896,96.91
27000,5.6716,103.67
28000,3.7539,97.12
29000,4.1073,95.5
