timestamp,gsr_z,hr_bpm
0,2.8759,78.2
1000,2.2396,81.32
2000,2.2124,79.44
3000,2.2241,90.93
4000,2.9879,86.28
5000,5.5356,83.58
6000,6.8086,85.1
7000,7.8104,79.86
8000,7.7883,84.42
9000,7.8021,84.0
10000,7.7658,78.83
11000,7.8493,83.33
12000,7.81,80.16
13000,7.8274,78.53
14000,7.8244,78.43
15000,7.6783,80.5
16000,7.8225,83.35
17000,7.8097,83.87
18000,7.7844,89.16
19000,7.8445,82.23
20000,7.8076,87.88
21000,6.9715,82.53
22000,6.6987,87.44
23000,5.988,85.4
24000,5.0128,89.94
25000,3.715,103.57
26000,3.1463,90.18
27000,2.2933,85.29
28000,2.9424,87.87
29000,3.1372,87.99
