timestamp,gsr_z,hr_bpm
0,4.1417,93.32
1000,4.2671,98.27
2000,4.3155,101.14
3000,3.8611,105.58
4000,3.5865,97.77
5000,3.9609,95.05
6000,3.9256,103.22
7000,5.311,102.58
8000,5.2966,93.2
9000,5.4131,93.6
10000,4.9234,93.9
11000,5.969,100.6
12000,6.933,106.56
13000,6.6727,97.92
14000,6.7287,93.39
15000,7.1115,88.68
16000,5.8404,80.82
17000,4.2881,83.65
18000,3.2937,93.34
19000,3.4774,95.5
20000,3.1111,97.65
21000,2.2465,98.52
22000,2.908,102.28
23000,3.6783,106.6
24000,3.6781,98.66
25000,3.1938,103.73
26000,3.5536,104.9
27000,4.2912,101.72
28000,4.7101,90.17
29000,3.647,92.06
