timestamp,gsr_z,hr_bpm
0,3.4178,86.63
1000,4.2299,88.61
2000,4.4442,89.82
3000,4.9662,83.36
4000,5.4797,87.41
5000,5.1077,95.37
6000,4.6335,94.4
7000,4.1792,94.27
8000,4.1954,88.91
9000,5.6401,96.73
10000,5.4601,95.36
11000,5.8592,100.43
12000,6.7925,95.71
13000,5.5285,98.12
14000,4.741,99.62
15000,4.6513,93.55
16000,4.5274,88.51
17000,3.5367,93.62
18000,5.0176,89.94
19000,4.2689,79.79
20000,4.6191,84.03
21000,5.0301,78.55
22000,4.078,78.34
23000,4.4945,77.48
24000,4.3992,78.44
25000,2.5062,77.7
26000,3.0847,78.05
27000,4.6981,90.29
28000,4.4149,89.53
29000,3.8594,82.93
