timestamp,gsr_z,hr_bpm
0,3.4857,95.86
1000,3.3181,93.19
2000,2.7854,89.27
3000,2.6347,97.71
4000,3.9332,93.01
5000,5.458,92.1
6000,6.0659,96.88
7000,5.5155,84.23
8000,5.7503,81.56
9000,6.1573,89.81
10000,5.0249,94.31
11000,6.7508,95.51
12000,5.6057,98.69
13000,5.541,95.81
14000,4.3655,100.0
15000,3.8989,96.87
16000,3.5931,100.54
17000,2.6795,93.0
18000,3.0893,96.44
19000,2.2,91.89
20000,2.3033,91.35
21000,2.232,93.1
22000,2.933,91.15
23000,4.2984,94.9
24000,4.6191,96.13
25000,4.6362,92.42
26000,4.2893,94.6
27000,3.4979,98.35
28000,3.3278,92.55
29000,4.6144,90.91
