timestamp,gsr_z,hr_bpm
0,3.7308,77.91
1000,4.0991,78.0
2000,3.4155,86.79
3000,3.244,85.88
4000,3.8723,78.12
5000,4.2613,81.54
6000,5.1418,82.52
7000,5.3449,85.5
8000,5.1671,86.13
9000,5.8233,79.54
10000,5.9765,78.07
11000,6.2215,80.88
12000,6.16,77.65
13000,6.4168,79.21
14000,7.1215,87.98
15000,6.0981,86.0
16000,7.6633,83.13
17000,7.7724,85.71
18000,7.7492,90.65
19000,7.8063,85.02
20000,7.5027,78.83
21000,7.1489,78.98
22000,6.5882,83.86
23000,5.8938,82.67
24000,5.7324,85.35
25000,6.218,81.8
26000,5.6914,79.16
27000,6.4994,78.18
28000,6.4578,78.29
29000,7.2239,79.29
