timestamp,gsr_z,hr_bpm
0,2.3291,80.41
1000,4.2452,78.43
2000,6.5963,78.42
3000,6.8081,81.34
4000,7.5794,80.3
5000,7.8318,83.36
6000,7.7607,85.07
7000,7.8028,79.08
8000,7.3433,91.87
9000,7.3282,99.15
10000,7.7196,94.07
11000,7.8052,89.24
12000,7.814,86.09
13000,7.7751,93.78
14000,7.7327,104.48
15000,7.7262,103.66
16000,7.8004,104.15
17000,7.8398,105.04
18000,7.7733,97.01
19000,7.8223,94.98
20000,7.7457,96.47
21000,7.8596,95.39
22000,7.7547,95.29
23000,7.7858,97.5
24000,7.8144,95.04
25000,7.8268,91.74
26000,7.7884,90.7
27000,7.7951,90.48
28000,7.7848,96.13
29000,7.7972,86.47
